model,origin_date,forecast_date,horizon,actual,predicted,error
random_forest,2024-08-17,2024-08-31,14,18.5,17.399664082520047,1.1003359174799527
random_forest,2024-08-17,2024-09-17,30,20.3,19.585261014730815,0.714738222329732
random_forest,2024-08-31,2024-09-01,1,13.1,13.337801050639285,0.2378006691695589
random_forest,2024-08-31,2024-09-03,3,16.8,15.915807260304346,0.8841919767562008
random_forest,2024-08-31,2024-09-08,7,8.1,9.045899005451439,0.9458986239817122
random_forest,2024-08-31,2024-09-15,14,19.3,19.179540554247428,0.12045868281311911
random_forest,2024-08-31,2024-10-02,30,10.2,9.681687962311882,0.5183118469532548
random_forest,2024-09-15,2024-09-16,1,20.0,19.425224946182027,0.574775053817973
random_forest,2024-09-15,2024-09-18,3,18.6,18.05590795568813,0.5440924257815958
random_forest,2024-09-15,2024-09-23,7,10.5,11.115145040924817,0.6151450409248174
random_forest,2024-09-15,2024-09-30,14,11.4,11.283407076498541,0.1165925420317322
random_forest,2024-09-15,2024-10-16,30,4.6,4.115154744144064,0.48484516048850423
random_forest,2024-09-30,2024-10-01,1,13.9,13.564461792665478,0.33553782586479564
random_forest,2024-09-30,2024-10-03,3,14.7,13.586814570483364,1.1131852387817727
random_forest,2024-09-30,2024-10-07,7,6.1,6.1444210554364815,0.04442115080391318
random_forest,2024-09-30,2024-10-14,14,4.4,4.012437198513407,0.3875628968540248
random_forest,2024-09-30,2024-10-30,30,14.0,7.724135473230829,6.275864526769171
random_forest,2024-10-14,2024-10-15,1,5.2,4.795602469595217,0.4043973396699201
random_forest,2024-10-14,2024-10-17,3,7.0,6.354041061393837,0.6459589386061628
random_forest,2024-10-14,2024-10-21,7,12.8,10.881695187355696,1.9183050033791673
random_forest,2024-10-14,2024-10-28,14,-1.9,-0.22494933143057974,1.6750506447275624
random_forest,2024-10-14,2024-11-13,30,0.5,0.5293722561801744,0.02937225618017436
random_forest,2024-10-28,2024-10-29,1,4.5,2.314398324352366,2.185601675647634
random_forest,2024-10-28,2024-10-31,3,4.1,4.504171659487831,0.4041717548552626
random_forest,2024-10-28,2024-11-04,7,6.5,4.720501546451142,1.7794984535488583
random_forest,2024-10-28,2024-11-11,14,1.6,1.1903797161535477,0.40962030768831026
random_forest,2024-10-28,2024-11-27,30,-2.0,-2.3347442350764,0.33474423507639983
random_forest,2024-11-11,2024-11-12,1,-1.8,-1.4752672988854025,0.32473265343088165
random_forest,2024-11-11,2024-11-14,3,0.6,-0.06499907955533928,0.6649991033971971
random_forest,2024-11-11,2024-11-18,7,6.1,4.344055088433126,1.7559448161994426
random_forest,2024-11-11,2024-11-25,14,-4.4,-3.7562548109069733,0.6437452844604583
random_forest,2024-11-11,2024-12-11,30,-9.6,-10.224068890839224,0.6240685093694971
random_forest,2024-11-25,2024-11-26,1,-0.7,-1.4076165092334458,0.7076165211543748
random_forest,2024-11-25,2024-11-28,3,-4.7,-4.4320921525870975,0.2679076566780392
random_forest,2024-11-25,2024-12-02,7,-3.1,-4.2185985992779536,1.1185986946453852
random_forest,2024-11-25,2024-12-09,14,-9.3,-11.048333892287097,1.7483337015522338
random_forest,2024-11-25,2024-12-25,30,-15.3,-16.622321585550203,1.32232139481534
random_forest,2024-12-09,2024-12-10,1,-2.1,-5.585555910479646,3.4855560058470774
random_forest,2024-12-09,2024-12-12,3,-13.7,-14.072792967524771,0.37279315825963444
random_forest,2024-12-09,2024-12-16,7,-1.4,-4.664876190475665,3.264876214317523
random_forest,2024-12-09,2024-12-23,14,-8.3,-11.31717513223393,3.017174941499066
random_forest,2024-12-09,2025-01-08,30,-20.3,-20.011944571781434,0.2880546652791125
random_forest,2024-12-23,2024-12-24,1,-13.1,-14.91699017393729,1.816989792467563
random_forest,2024-12-23,2024-12-26,3,-7.2,-8.465188499317087,1.26518869005195
random_forest,2024-12-23,2024-12-30,7,1.1,-1.169136108275269,2.2691361321171266
